,year,name,college,pos,height,weight,wonderlic,40_yard,bench_press,vert_leap,broad_jump,shuttle,3_cone,40_yard_percentile,bench_press_percentile,vert_leap_percentile,broad_jump_percentile,shuttle_percentile,3_cone_percentile,avg_percentile
124,2000,Jerry Johnson,Florida State,DT,72.5,293,,5.09,26.0,28.5,102.0,,,0.761904762,0.578947368,0.263157895,0.421052632,,,
125,2000,Matt Johnson,Brigham Young,OG,76.0,345,,5.6,35.0,28.0,99.0,4.99,8.07,0.095238095,1.0,0.388888889,0.444444444,0.1875,0.352941176,0.4115021006666666
126,2000,Dhani Jones,Michigan,OLB,73.1,240,,4.69,29.0,,,,,0.4375,1.0,,,,,
127,2000,Fred Jones,Colorado,OLB,74.0,247,,4.98,17.0,32.0,113.0,4.39,7.27,0.0625,0.076923077,0.230769231,0.384615385,0.272727273,0.454545455,0.2470134035
128,2000,John Jones,Indiana (PA),TE,76.3,248,,4.64,13.0,38.5,125.0,4.43,7.33,0.916666667,0.0,1.0,1.0,0.25,0.125,0.5486111111666666
129,2000,Leander Jordan,Indiana (PA),OG,75.9,330,,5.53,25.0,31.0,104.0,4.76,7.91,0.142857143,0.611111111,0.833333333,0.888888889,0.5625,0.529411765,0.5946837068333334
130,2000,Morgan Kane,Wake Forest,RB,72.8,221,,4.63,29.0,37.5,121.0,4.16,6.81,0.461538462,1.0,0.863636364,0.666666667,0.578947368,0.842105263,0.7354823540000001
131,2000,Curtis Keaton,James Madison (VA),RB,70.0,214,,4.41,23.0,41.5,131.0,3.93,6.82,1.0,0.736842105,1.0,1.0,0.947368421,0.789473684,0.9122807016666666
132,2000,Tinker Keck,Cincinnati,SS,73.3,200,,4.58,15.0,36.5,120.0,4.31,6.96,0.555555556,0.333333333,0.666666667,0.714285714,0.166666667,0.333333333,0.46164021166666663
133,2000,Sean Keenan,Williams College (MA),QB,75.0,202,32.0,5.03,,25.5,95.0,4.41,7.21,0.352941176,,0.071428571,0.0,0.461538462,0.692307692,
134,2000,Ben Kelly,Colorado,CB,68.9,183,,4.56,17.0,36.0,116.0,3.95,6.63,0.259259259,0.75,0.52,0.115384615,0.954545455,0.956521739,0.5926185113333333
135,2000,Dan Kendra,Florida State,FB,71.9,251,,4.88,24.0,35.0,119.0,,,0.375,0.6,0.75,1.0,,,
136,2000,Kenoy Kennedy,Arkansas,FS,73.0,221,,4.71,8.0,33.5,113.0,4.38,7.08,0.0,0.0,0.0,0.0,0.0,0.222222222,0.037037037
137,2000,Sean Key,Florida State,FS,70.6,188,,4.67,,,,4.2,7.12,0.090909091,,,,0.6,0.111111111,
138,2000,Adrian Klemm,Hawaii,OT,75.9,307,,4.98,24.0,,,,,1.0,0.5,,,,,
139,2000,Andrew Kline,San Diego State,OG,74.1,305,,5.49,26.0,28.0,103.0,4.6,7.54,0.19047619,0.722222222,0.388888889,0.777777778,0.8125,0.941176471,0.6388402583333334
140,2000,Marcus Knight,Michigan,WR,72.9,180,,4.74,,28.5,106.0,4.38,7.11,0.035714286,,0.0,0.0,0.055555556,0.263157895,
141,2000,Noel LaMontagne,Virginia,OG,76.1,299,,5.09,21.0,,,,,1.0,0.277777778,,,,,
142,2000,Kareem Larrimore,West Texas A&M,CB,71.1,190,,4.44,,34.0,125.0,,,0.925925926,,0.12,0.884615385,,,
143,2000,Leif Larsen,Texas-El Paso,DT,76.5,300,,5.12,45.0,30.0,110.0,4.37,7.46,0.619047619,1.0,0.631578947,0.947368421,0.882352941,0.705882353,0.7977050468333333
144,2000,Charles Lee,Central Florida,WR,73.5,202,,4.6,,35.5,125.0,4.25,7.3,0.25,,0.5,0.84,0.166666667,0.052631579,
145,2000,Tim Lester,Western Michigan,QB,72.4,202,26.0,5.05,,27.0,97.0,4.24,7.28,0.294117647,,0.285714286,0.117647059,0.769230769,0.615384615,
146,2000,Jamal Lewis,Tennessee,RB,71.8,240,,4.58,23.0,,,,,0.576923077,0.736842105,,,,,
147,2000,Al Lucas,Troy (AL),DT,72.6,294,,5.03,28.0,36.0,108.0,4.56,7.44,0.80952381,0.736842105,1.0,0.736842105,0.705882353,0.764705882,0.7922993758333333
148,2000,Anthony Lucas,Arkansas,WR,74.8,194,,4.54,,35.0,121.0,,,0.714285714,,0.416666667,0.52,,,
149,2000,Dustin Lyman,Wake Forest,ILB,76.0,259,,4.7,22.0,35.0,118.0,4.06,6.86,0.8,0.666666667,1.0,1.0,1.0,1.0,0.9111111111666667
150,2000,David Macklin,Penn State,CB,68.6,194,,4.56,,37.5,120.0,4.09,6.9,0.259259259,,0.76,0.538461538,0.590909091,0.565217391,
151,2000,Anthony Malbrough,Texas Tech,CB,68.9,184,,4.49,20.0,35.5,117.0,4.0,6.73,0.666666667,0.95,0.44,0.346153846,0.772727273,0.782608696,0.659692747
152,2000,Tee Martin,Tennessee,QB,73.6,227,11.0,4.61,,34.5,113.0,,,1.0,,0.928571429,0.941176471,,,
153,2000,Terrance McCaskey,Mississippi State,TE,78.0,271,,5.0,,29.0,101.0,,,0.25,,0.1,0.0,,,
154,2000,Kevin McDougal,Colorado State,RB,71.4,206,,4.66,,32.0,108.0,4.12,7.08,0.346153846,,0.181818182,0.041666667,0.789473684,0.421052632,
155,2000,Stockar McDougle,Oklahoma,OT,77.3,361,,5.5,24.0,,,,,0.333333333,0.5,,,,,
156,2000,Chris McIntosh,Wisconsin,OT,78.4,315,,5.39,28.0,,,,,0.388888889,0.833333333,,,,,
157,2000,Damion McIntosh,Kansas State,OT,75.9,328,,5.35,23.0,26.0,97.0,4.71,7.72,0.611111111,0.388888889,0.333333333,0.333333333,0.857142857,0.642857143,0.5277777776666667
158,2000,Alvin McKinley,Mississippi State,DT,76.0,289,,5.1,22.0,27.5,102.0,4.61,7.73,0.666666667,0.157894737,0.0,0.421052632,0.470588235,0.352941176,0.34485724116666666
159,2000,Rondell Mealey,Louisiana State,RB,71.6,212,,4.69,,33.0,120.0,4.15,6.89,0.230769231,,0.409090909,0.625,0.631578947,0.631578947,
160,2000,Brad Meester,Northern Iowa,C,75.4,298,,5.13,25.0,34.0,110.0,4.43,7.46,0.666666667,0.666666667,1.0,1.0,1.0,1.0,0.888888889
161,2000,Rob Meier,Washington State,DE,77.0,284,,5.0,27.0,30.5,113.0,4.52,7.49,0.4375,0.692307692,0.333333333,0.466666667,0.285714286,0.538461538,0.45899725266666663
